jiale,JL@gmail.com,123456,111111111,SJL Corp,Security,CEO,Recruiter
JIAJUN,jj@gmail.com,123456,190910910,Bachelor Degree,Computer Science,8 years,Applicant
JIALE,jiale@gmail.com,2468,198585858,jiale comp,Security,CEO,Recruiter
SIAJIAJUN,jiajun@gmail.com,23456,9876543210,Bachelor Degre,Civil Engineer,1 year,Applicant
TONY,tony@gmail.com,123,202202020,tony sdn bhd,cyber security,CEO,Recruiter
sia@gmail.com,sia@gmail.com,123456,1234567890,sia corp,se,manager,Recruiter
jiale,siajiale26@gmail.com,23456,192039049,JIALE company,Scientist,CEO,Recruiter
JUNHAN,junhan@gmail.com,123456,1234567890,junhan corp,CEO,No,Recruiter
BOONHENG,boonheng@gmail.com,123456,192923939,boon corp,SE,CEO,Recruiter
CHIUWEN,cw@gmail.com,1234,192938383,Degree,Degree,No,Applicant
CW,chiuwen@gmail.com,1234,199292333,CW Corp,Insurance,CEO,Recruiter
SIAJIALE,siajiale@gmail.com,1234,192929393,Sia Corp,Software Engineer,Manager,Recruiter
Ong Boon Heng,bh@gmail.com,2345,129394965,Bachelor Degree,Computer Science,No experience,Applicant
siajiale,jl@gmail.com,1234,1234567890,SJL SDN.BHD,Software Engineering,CEO,Recruiter
MICHAEL,MICHAEL@gmail.com,2467,1234567890,Bachelor Degree,Computer Science,No experience,Applicant
